Date;SE1 [MWh];SE2 [MWh];SE3 [MWh];SE4 [MWh]
1964-03-12;6573;21027;5963;688
1964-03-13;6340;20288;5701;706
1964-03-14;6125;19436;5616;707
1964-03-15;5931;18545;5424;698
1964-03-16;5747;17700;5233;688
1964-03-17;5573;16927;5027;673
1964-03-18;5746;16230;4805;657
1964-03-19;5584;15681;4767;639
1964-03-20;5133;15165;4549;614
1964-03-21;5000;14661;4634;590
1964-03-22;4870;14308;4433;568
1964-03-23;4750;13910;4324;548
1964-03-24;4636;13407;4185;528
1964-03-25;4523;13049;4068;510
1964-03-26;4821;12680;3978;492
1964-03-27;4326;12383;3905;474
1964-03-28;4234;12121;3823;458
1964-03-29;4147;11803;3739;443
1964-03-30;4058;11535;3623;426
1964-03-31;4599;11295;3545;413
1964-04-01;4603;11194;3480;399
1964-04-02;5315;11335;3436;387
1964-04-03;4214;14122;3111;374
1964-04-04;3745;10651;3043;360
1964-04-05;4194;10837;2995;347
1964-04-06;4809;10410;2937;335
1964-04-07;3907;9978;2876;416
1964-04-08;4222;9775;3242;615
1964-04-09;3891;14260;2957;401
1964-04-10;7383;15486;3488;461
1964-04-11;7512;12705;3993;468
1964-04-12;19444;20035;5966;789
1964-04-13;10104;21704;4895;513
1964-04-14;4523;19031;6097;541
1964-04-15;3742;24353;6948;525
1964-04-16;4298;32965;9269;499
1964-04-17;4583;51046;11993;464
1964-04-18;10445;75612;16668;427
1964-04-19;16894;103097;23360;392
1964-04-20;11617;140808;31001;358
1964-04-21;20318;164876;35734;387
1964-04-22;14908;157955;35781;2185
1964-04-23;17503;144714;33379;963
1964-04-24;16061;127492;29869;1197
1964-04-25;14485;110676;26759;868
1964-04-26;10424;101175;24777;806
1964-04-27;10734;104450;23969;744
1964-04-28;11524;129279;25579;1115
1964-04-29;18026;191909;33526;1503
1964-04-30;32402;242161;33475;930
1964-05-01;25684;259880;33348;878
1964-05-02;24930;246345;31492;805
1964-05-03;26363;235660;29866;1448
1964-05-04;28367;231224;32895;1141
1964-05-05;31211;226560;27735;1252
1964-05-06;35199;245670;25268;879
1964-05-07;35912;241464;23769;779
1964-05-08;44201;250200;25992;1226
1964-05-09;48596;255576;22601;764
1964-05-10;60115;287276;23663;1017
1964-05-11;93752;316799;22937;875
1964-05-12;103118;316770;20223;747
1964-05-13;115277;336618;20088;769
1964-05-14;111187;341678;17755;656
1964-05-15;110047;318358;16400;529
1964-05-16;103816;269428;15065;466
1964-05-17;91839;226229;14239;652
1964-05-18;80116;196542;12789;407
1964-05-19;74341;183362;11860;370
1964-05-20;75032;189708;10903;340
1964-05-21;87075;214378;10161;313
1964-05-22;104062;245479;9519;287
1964-05-23;115921;267014;8757;259
1964-05-24;123229;272129;8767;229
1964-05-25;131647;270833;8005;201
1964-05-26;147635;272088;9281;173
1964-05-27;178485;273119;9241;207
1964-05-28;168662;239391;7961;262
1964-05-29;146724;204858;7213;99
1964-05-30;122712;178637;7193;76
1964-05-31;99478;152422;7546;55
1964-06-01;80337;133025;10945;61
1964-06-02;65502;115927;18013;808
1964-06-03;57856;111040;14315;567
1964-06-04;58572;101684;11611;143
1964-06-05;60765;113179;11130;125
1964-06-06;60167;138587;9972;22
1964-06-07;53423;144789;14688;749
1964-06-08;79722;173139;13632;201
1964-06-09;68973;165082;11820;87
1964-06-10;66779;155950;16517;-3
1964-06-11;79489;170471;15160;-45
1964-06-12;84686;168110;11107;-67
1964-06-13;108235;174381;10012;-87
1964-06-14;139176;180354;9311;-46
1964-06-15;152803;178324;12115;185
1964-06-16;160489;168497;9791;131
1964-06-17;149469;147369;9594;68
1964-06-18;127721;132645;8886;-135
1964-06-19;131355;164939;18792;433
1964-06-20;141090;156228;10343;-32
1964-06-21;130026;141285;12058;231
1964-06-22;123082;129664;15365;-150
1964-06-23;127778;182057;29398;1625
1964-06-24;142314;184429;22586;259
1964-06-25;137150;169295;19357;11
1964-06-26;122191;145942;18147;-95
1964-06-27;112699;139473;17493;-120
1964-06-28;102005;139108;15430;-184
1964-06-29;95212;129267;14800;-133
1964-06-30;85834;114410;13278;-164
1964-07-01;76855;103955;12075;-123
1964-07-02;95731;124604;13975;-38
1964-07-03;89670;117108;11246;-128
1964-07-04;87444;106955;11165;215
1964-07-05;84263;109841;14769;48
1964-07-06;79266;132913;13216;532
1964-07-07;76329;126553;15624;573
1964-07-08;77535;140202;21122;1616
1964-07-09;98476;140042;15644;755
1964-07-10;96935;138340;14941;589
1964-07-11;95832;130373;16222;381
1964-07-12;95477;121703;16483;989
1964-07-13;109335;113948;13304;243
1964-07-14;98192;100261;12385;93
1964-07-15;88046;91341;12442;38
1964-07-16;78863;82038;10592;-36
1964-07-17;71310;76837;9882;-98
1964-07-18;65117;67445;9177;-125
1964-07-19;57140;64247;13109;156
1964-07-20;51473;73426;15209;-40
1964-07-21;48425;63320;11697;-144
1964-07-22;46735;58740;16748;912
1964-07-23;45473;54808;26347;133
1964-07-24;45399;50913;16510;814
1964-07-25;87323;88130;17114;187
1964-07-26;74394;74739;14570;41
1964-07-27;65732;66272;12883;332
1964-07-28;66483;67123;12537;-11
1964-07-29;68964;69630;11617;-94
1964-07-30;59568;64426;10697;-4
1964-07-31;50940;102808;14204;1430
1964-08-01;86069;134677;17688;520
1964-08-02;84383;112827;15717;194
1964-08-03;87711;103009;15578;225
1964-08-04;81919;93215;16292;72
1964-08-05;69419;89116;15451;9
1964-08-06;63342;81410;13978;-28
1964-08-07;58172;72067;12210;-53
1964-08-08;50041;64879;12472;-71
1964-08-09;51746;58746;12268;741
1964-08-10;53233;70256;10707;160
1964-08-11;45486;58966;9721;20
1964-08-12;39264;54361;8706;-65
1964-08-13;36013;48951;8203;-74
1964-08-14;32539;47026;9246;-91
1964-08-15;28595;44104;9882;-98
1964-08-16;25598;42174;8657;-105
1964-08-17;30866;57977;8128;-91
1964-08-18;32162;79821;16777;716
1964-08-19;70741;92403;12281;858
1964-08-20;112698;139451;18408;324
1964-08-21;181942;160574;13728;65
1964-08-22;173863;159274;12672;34
1964-08-23;144597;143585;12260;21
1964-08-24;122228;141615;16262;1044
1964-08-25;128863;141399;11615;119
1964-08-26;118019;141214;11273;24
1964-08-27;100633;133244;12330;-31
1964-08-28;81337;121372;11316;244
1964-08-29;73309;228176;23219;1114
1964-08-30;126119;255565;20665;253
1964-08-31;113685;246610;19623;85
1964-09-01;101700;221439;18329;68
1964-09-02;88205;187645;17015;27
1964-09-03;73615;157661;15530;5
1964-09-04;71615;136664;14250;-8
1964-09-05;61600;118055;13009;26
1964-09-06;90920;138670;14806;214
1964-09-07;84413;135789;12812;0
1964-09-08;119918;172079;13396;233
1964-09-09;98411;159141;11969;-18
1964-09-10;83571;144743;11660;46
1964-09-11;67528;124902;15918;1481
1964-09-12;60150;110561;13061;1281
1964-09-13;52205;109402;11736;423
1964-09-14;50425;119248;16213;553
1964-09-15;49033;129087;14015;595
1964-09-16;42112;128640;20690;2687
1964-09-17;39683;131816;27826;1835
1964-09-18;36139;124432;20140;1469
1964-09-19;35127;124467;22785;1922
1964-09-20;32374;158685;35444;1790
1964-09-21;31685;155937;39395;1463
1964-09-22;39029;167336;41400;1146
1964-09-23;37650;155128;38280;947
1964-09-24;41174;143560;34131;763
1964-09-25;36417;126577;29772;610
1964-09-26;32873;111973;27717;519
1964-09-27;35979;107901;25545;475
1964-09-28;33486;108591;22072;374
1964-09-29;36255;113842;20522;377
1964-09-30;32709;105818;18224;318
1964-10-01;44128;126425;16740;357
1964-10-02;41320;121825;15368;345
1964-10-03;48584;110416;14262;332
1964-10-04;56667;98441;13303;317
1964-10-05;56289;88052;12499;302
1964-10-06;51363;79907;12197;360
1964-10-07;47998;76572;14916;926
1964-10-08;54119;93211;17205;675
1964-10-09;49244;96635;32142;3216
1964-10-10;47756;125130;31388;2346
1964-10-11;52417;145691;35136;2187
1964-10-12;46565;138824;33769;2128
1964-10-13;40878;127102;50274;3905
1964-10-14;36697;133562;69972;2788
1964-10-15;33612;137713;62106;2670
1964-10-16;31718;123473;64572;3946
1964-10-17;29025;113509;58911;3026
1964-10-18;27970;103451;47577;2685
1964-10-19;30020;105112;42296;2397
1964-10-20;32705;107676;43286;2544
1964-10-21;32228;102271;36888;2260
1964-10-22;32000;95199;35696;2001
1964-10-23;40695;97294;42864;2718
1964-10-24;64816;134766;47567;2401
1964-10-25;55724;127523;41496;2336
1964-10-26;53077;120183;38095;2034
1964-10-27;42299;110533;34564;1839
1964-10-28;54612;108336;31397;1633
1964-10-29;63284;100608;28573;1448
1964-10-30;59765;91444;26280;1302
1964-10-31;55358;84532;24383;1190
1964-11-01;51428;79327;23230;1307
1964-11-02;69360;82642;21366;1155
1964-11-03;71413;82237;19836;1075
1964-11-04;55501;78383;18666;1058
1964-11-05;53357;85435;17829;1009
1964-11-06;42773;74782;16837;1024
1964-11-07;34709;68089;16017;963
1964-11-08;39077;68781;15304;954
1964-11-09;34198;64796;14574;925
1964-11-10;35154;75087;13933;897
1964-11-11;36708;73874;13272;911
1964-11-12;31425;68813;14659;1184
1964-11-13;28354;65365;14213;1092
1964-11-14;42377;79566;17767;1907
1964-11-15;30518;61021;15910;1692
1964-11-16;30001;55972;16484;2086
1964-11-17;31405;55037;14505;1550
1964-11-18;22363;51571;13888;1520
1964-11-19;20564;55567;19401;2191
1964-11-20;20850;52900;15638;1870
1964-11-21;19164;48187;13389;1652
1964-11-22;27888;62418;17228;1940
1964-11-23;20283;49050;13851;2221
1964-11-24;28828;49110;12807;2340
1964-11-25;19482;51060;12986;2269
1964-11-26;24274;47407;12912;2180
1964-11-27;34664;52940;12736;2688
1964-11-28;19608;43621;15430;3024
1964-11-29;17903;38831;12267;2592
1964-11-30;16771;38190;11512;2419
1964-12-01;16409;36284;11070;2229
1964-12-02;27550;48511;12572;2179
1964-12-03;29144;44497;13810;2453
1964-12-04;15166;37381;12169;2054
1964-12-05;13110;34864;10525;1848
1964-12-06;15554;36383;13336;2438
1964-12-07;17165;41064;11419;1959
1964-12-08;20845;44191;12047;2423
1964-12-09;18192;39050;16286;3796
1964-12-10;18295;33851;15029;4035
1964-12-11;14223;33436;15556;3700
1964-12-12;16365;36532;19221;4493
1964-12-13;15033;33428;37134;7807
1964-12-14;11973;35201;24933;7303
1964-12-15;12989;37078;25082;6362
1964-12-16;13254;31511;23655;5861
1964-12-17;11115;28790;22087;5859
1964-12-18;11275;27604;20504;4806
1964-12-19;18426;43781;19550;4153
1964-12-20;14340;35872;20566;4423
1964-12-21;14784;31230;16704;3315
1964-12-22;16192;28330;15659;2970
1964-12-23;14923;30080;14818;2789
1964-12-24;14042;31455;14274;2750
1964-12-25;13530;29319;13574;2623
1964-12-26;13314;28683;12956;2484
1964-12-27;14766;26925;12388;2338
1964-12-28;11063;25706;11943;2189
1964-12-29;11359;26309;11491;2068
1964-12-30;15902;33199;16700;2834
1964-12-31;18815;29061;13074;2420
1965-01-01;15825;28458;11905;2570
1965-01-02;11377;24643;11378;2430
1965-01-03;13606;24039;11045;2432
1965-01-04;10457;32951;11027;2698
1965-01-05;9062;22354;10310;2254
1965-01-06;11250;22363;10030;2128
1965-01-07;10650;37931;11384;2244
1965-01-08;8450;28531;13035;2374
1965-01-09;7859;21317;9326;2548
1965-01-10;8003;24071;10030;2137
1965-01-11;22784;33355;15329;2527
1965-01-12;8793;22225;10782;2238
1965-01-13;15814;29996;12429;2383
1965-01-14;19534;29273;14090;2796
1965-01-15;10529;25973;14338;3735
1965-01-16;13898;28292;17275;4096
1965-01-17;25723;33107;21524;4832
1965-01-18;11035;22844;19318;4758
